----------------------------------------------
|             ListStackInstances             |
+--------------+----------------+------------+
|  970547354166|  eu-central-1  |  CURRENT   |
|  970547354166|  eu-west-1     |  CURRENT   |
|  970547354166|  us-east-1     |  CURRENT   |
|  976193229864|  eu-central-1  |  CURRENT   |
|  976193229864|  eu-west-1     |  CURRENT   |
|  976193229864|  us-east-1     |  CURRENT   |
|  982081068127|  eu-central-1  |  CURRENT   |
|  982081068127|  eu-west-1     |  CURRENT   |
|  982081068127|  us-east-1     |  CURRENT   |
|  982534347997|  eu-central-1  |  CURRENT   |
|  982534347997|  eu-west-1     |  CURRENT   |
|  982534347997|  us-east-1     |  CURRENT   |
|  985539763589|  eu-central-1  |  CURRENT   |
|  985539763589|  eu-west-1     |  CURRENT   |
|  985539763589|  us-east-1     |  CURRENT   |
|  985539772768|  eu-central-1  |  CURRENT   |
|  985539772768|  eu-west-1     |  CURRENT   |
|  985539772768|  us-east-1     |  CURRENT   |
|  988444681199|  eu-central-1  |  CURRENT   |
|  988444681199|  eu-west-1     |  CURRENT   |
|  988444681199|  us-east-1     |  CURRENT   |
|  995751812523|  eu-central-1  |  CURRENT   |
|  995751812523|  eu-west-1     |  CURRENT   |
|  995751812523|  us-east-1     |  CURRENT   |
+--------------+----------------+------------+
